backbone,protocol,dataset,seed,method_pair,task_type,metric_type,fullft_metric,peft_metric,fullft_bad_minus_peft_bad,direction
chemberta2,random,esol,2,fullft_vs_dora,regression,rmse,0.6785554996033459,0.6964969191007258,-0.017941419497379818,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,10,fullft_vs_lora,regression,rmse,0.7785999365370749,0.7287414037285797,0.04985853280849528,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,10,fullft_vs_dora,regression,rmse,0.7785999365370749,0.7291323017923416,0.04946763474473337,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,100,fullft_vs_lora,regression,rmse,0.7234996101626154,0.8359654858619455,-0.11246587569933009,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,100,fullft_vs_dora,regression,rmse,0.7234996101626154,0.8349278493649449,-0.11142823920232947,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,1000,fullft_vs_lora,regression,rmse,0.6332308951988752,0.6901155482859098,-0.05688465308703461,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,esol,1000,fullft_vs_dora,regression,rmse,0.6332308951988752,0.689606236214829,-0.05637534101595376,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,0,fullft_vs_lora,regression,rmse,0.7130615029580074,0.7186797978490805,-0.005618294891073128,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,0,fullft_vs_dora,regression,rmse,0.7130615029580074,0.7083470025333098,0.004714500424697565,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,1,fullft_vs_lora,regression,rmse,0.7954158513454803,0.8041329926933086,-0.008717141347828306,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,1,fullft_vs_dora,regression,rmse,0.7954158513454803,0.796070627881888,-0.0006547765364076641,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,2,fullft_vs_lora,regression,rmse,0.7366382542765304,0.7146806374484348,0.021957616828095605,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,2,fullft_vs_dora,regression,rmse,0.7366382542765304,0.7257291875753176,0.010909066701212833,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,10,fullft_vs_lora,regression,rmse,0.7267764197009962,0.6889449021382047,0.03783151756279146,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,10,fullft_vs_dora,regression,rmse,0.7267764197009962,0.6756346218260331,0.05114179787496309,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,100,fullft_vs_lora,regression,rmse,0.7107369276220594,0.6430904120365065,0.0676465155855529,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,100,fullft_vs_dora,regression,rmse,0.7107369276220594,0.6404776520027817,0.0702592756192777,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,1000,fullft_vs_lora,regression,rmse,0.7869073499675892,0.7528093491706452,0.03409800079694392,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,lipo,1000,fullft_vs_dora,regression,rmse,0.7869073499675892,0.7550652642494303,0.03184208571815883,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,0,fullft_vs_lora,classification,auc,0.9246684350132626,0.8961980548187445,-0.028470380194518086,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,0,fullft_vs_dora,classification,auc,0.9246684350132626,0.897789566755084,-0.026878868258178534,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,1,fullft_vs_lora,classification,auc,0.8444326990838619,0.8528893587033122,0.008456659619450302,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,1,fullft_vs_dora,classification,auc,0.8444326990838619,0.8548273431994362,0.010394644115574336,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,2,fullft_vs_lora,classification,auc,0.8314999126942553,0.7930853850183343,-0.03841452767592102,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,2,fullft_vs_dora,classification,auc,0.8314999126942553,0.7922123275711542,-0.03928758512310104,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,10,fullft_vs_lora,classification,auc,0.8764005602240896,0.876750700280112,0.0003501400560224077,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,10,fullft_vs_dora,classification,auc,0.8764005602240896,0.8765756302521008,0.00017507002801120386,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,100,fullft_vs_lora,classification,auc,0.8304878048780487,0.8045296167247387,-0.02595818815331008,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,100,fullft_vs_dora,classification,auc,0.8304878048780487,0.8212543554006969,-0.00923344947735183,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,1000,fullft_vs_lora,classification,auc,0.8832293832293833,0.8581081081081081,-0.025121275121275155,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bace,1000,fullft_vs_dora,classification,auc,0.8832293832293833,0.8607068607068608,-0.022522522522522515,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,0,fullft_vs_lora,classification,auc,0.9413109756097561,0.9428353658536586,0.0015243902439024959,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,0,fullft_vs_dora,classification,auc,0.9413109756097561,0.943140243902439,0.0018292682926829285,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,1,fullft_vs_lora,classification,auc,0.9765377298668357,0.9752694990488269,-0.0012682308180088642,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,1,fullft_vs_dora,classification,auc,0.9765377298668357,0.9751109701965758,-0.0014267596702599583,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,2,fullft_vs_lora,classification,auc,0.9698485845951283,0.9730085582620145,0.00315997366688614,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,2,fullft_vs_dora,classification,auc,0.9698485845951283,0.9735352205398289,0.0036866359447005337,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,10,fullft_vs_lora,classification,auc,0.9616120679950467,0.9595857255431723,-0.0020263424518743856,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,10,fullft_vs_dora,classification,auc,0.9616120679950467,0.9599234492851514,-0.0016886187098953398,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,100,fullft_vs_lora,classification,auc,0.9584479911942763,0.9585855806274078,0.00013758943313157967,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
chemberta2,random,bbbp,100,fullft_vs_dora,classification,auc,0.9584479911942763,0.9580352228948816,-0.000412768299394628,regression: fullft_rmse - peft_rmse; classification: peft_auc - fullft_auc; negative = Full FT better
