backbone,dataset,method,seed,protocol,task_type,metric_type,final_metric,status,epochs_completed,epochs_requested,batch_size,lr,weight_decay,trainable_params,elapsed_sec,peak_mib,checkpoint_path,checkpoint_exists,training_log
molformer_c3,esol,fullft,1,random,regression,rmse,0.6544478968083256,PASS,41,50,50,2e-05,0.01,44375809,53.25141263008118,12864,dumped/baseline_esol_fullft_molformer_c3_random_seed1/model.pt,True,dumped/baseline_esol_fullft_molformer_c3_random_seed1/training.log
molformer_c3,esol,fullft,2,random,regression,rmse,0.6260777003432895,PASS,50,50,50,2e-05,0.01,44375809,66.28737807273865,13727,dumped/baseline_esol_fullft_molformer_c3_random_seed2/model.pt,True,dumped/baseline_esol_fullft_molformer_c3_random_seed2/training.log
molformer_c3,esol,fullft,10,random,regression,rmse,0.6301055514378802,PASS,50,50,50,2e-05,0.01,44375809,68.50633978843689,13013,dumped/baseline_esol_fullft_molformer_c3_random_seed10/model.pt,True,dumped/baseline_esol_fullft_molformer_c3_random_seed10/training.log
molformer_c3,esol,fullft,100,random,regression,rmse,0.6214276262097617,PASS,50,50,50,2e-05,0.01,44375809,68.40855050086975,13425,dumped/baseline_esol_fullft_molformer_c3_random_seed100/model.pt,True,dumped/baseline_esol_fullft_molformer_c3_random_seed100/training.log
molformer_c3,esol,fullft,1000,random,regression,rmse,0.6206795853027696,PASS,41,50,50,2e-05,0.01,44375809,49.94412183761597,13394,dumped/baseline_esol_fullft_molformer_c3_random_seed1000/model.pt,True,dumped/baseline_esol_fullft_molformer_c3_random_seed1000/training.log
molformer_c3,lipo,fullft,0,random,regression,rmse,0.5799614117791876,PASS,50,50,50,2e-05,0.01,44375809,203.8961169719696,16270,dumped/baseline_lipo_fullft_molformer_c3_random_seed0/model.pt,True,dumped/baseline_lipo_fullft_molformer_c3_random_seed0/training.log
molformer_c3,lipo,fullft,1,random,regression,rmse,0.6356734371953275,PASS,50,50,50,2e-05,0.01,44375809,197.72057843208313,23978,dumped/baseline_lipo_fullft_molformer_c3_random_seed1/model.pt,True,dumped/baseline_lipo_fullft_molformer_c3_random_seed1/training.log
molformer_c3,lipo,fullft,2,random,regression,rmse,0.5862904566406981,PASS,50,50,50,2e-05,0.01,44375809,211.006671667099,19985,dumped/baseline_lipo_fullft_molformer_c3_random_seed2/model.pt,True,dumped/baseline_lipo_fullft_molformer_c3_random_seed2/training.log
molformer_c3,lipo,fullft,10,random,regression,rmse,0.6061584236352664,PASS,50,50,50,2e-05,0.01,44375809,211.14913868904114,22412,dumped/baseline_lipo_fullft_molformer_c3_random_seed10/model.pt,True,dumped/baseline_lipo_fullft_molformer_c3_random_seed10/training.log
molformer_c3,lipo,fullft,100,random,regression,rmse,0.6157002698321213,PASS,50,50,50,2e-05,0.01,44375809,207.31717491149902,17414,dumped/baseline_lipo_fullft_molformer_c3_random_seed100/model.pt,True,dumped/baseline_lipo_fullft_molformer_c3_random_seed100/training.log
molformer_c3,lipo,fullft,1000,random,regression,rmse,0.7260696216019563,PASS,50,50,50,2e-05,0.01,44375809,199.8347873687744,20307,dumped/baseline_lipo_fullft_molformer_c3_random_seed1000/model.pt,True,dumped/baseline_lipo_fullft_molformer_c3_random_seed1000/training.log
molformer_c3,bace,fullft,0,random,classification,auc,0.9190097259062776,PASS,41,50,50,2e-05,0.01,44375809,67.01780033111572,18052,dumped/baseline_bace_fullft_molformer_c3_random_seed0/model.pt,True,dumped/baseline_bace_fullft_molformer_c3_random_seed0/training.log
molformer_c3,bace,fullft,1,random,classification,auc,0.8761451726568006,PASS,41,50,50,2e-05,0.01,44375809,69.46517086029053,15835,dumped/baseline_bace_fullft_molformer_c3_random_seed1/model.pt,True,dumped/baseline_bace_fullft_molformer_c3_random_seed1/training.log
molformer_c3,bace,fullft,2,random,classification,auc,0.8266107909900472,PASS,36,50,50,2e-05,0.01,44375809,59.02023386955261,16509,dumped/baseline_bace_fullft_molformer_c3_random_seed2/model.pt,True,dumped/baseline_bace_fullft_molformer_c3_random_seed2/training.log
molformer_c3,bace,fullft,10,random,classification,auc,0.8806022408963585,PASS,39,50,50,2e-05,0.01,44375809,64.8289864063263,17305,dumped/baseline_bace_fullft_molformer_c3_random_seed10/model.pt,True,dumped/baseline_bace_fullft_molformer_c3_random_seed10/training.log
molformer_c3,bace,fullft,100,random,classification,auc,0.8353658536585366,PASS,35,50,50,2e-05,0.01,44375809,58.427799701690674,18064,dumped/baseline_bace_fullft_molformer_c3_random_seed100/model.pt,True,dumped/baseline_bace_fullft_molformer_c3_random_seed100/training.log
molformer_c3,bace,fullft,1000,random,classification,auc,0.9021136521136521,PASS,37,50,50,2e-05,0.01,44375809,61.7417848110199,17463,dumped/baseline_bace_fullft_molformer_c3_random_seed1000/model.pt,True,dumped/baseline_bace_fullft_molformer_c3_random_seed1000/training.log
molformer_c3,bbbp,fullft,0,random,classification,auc,0.9400914634146341,PASS,32,50,50,2e-05,0.01,44375809,74.03683805465698,17195,dumped/baseline_bbbp_fullft_molformer_c3_random_seed0/model.pt,True,dumped/baseline_bbbp_fullft_molformer_c3_random_seed0/training.log
molformer_c3,bbbp,fullft,1,random,classification,auc,0.979708306911858,PASS,33,50,50,2e-05,0.01,44375809,76.87173557281494,18226,dumped/baseline_bbbp_fullft_molformer_c3_random_seed1/model.pt,True,dumped/baseline_bbbp_fullft_molformer_c3_random_seed1/training.log
molformer_c3,bbbp,fullft,2,random,classification,auc,0.9718235681369322,PASS,36,50,50,2e-05,0.01,44375809,83.57143545150757,18228,dumped/baseline_bbbp_fullft_molformer_c3_random_seed2/model.pt,True,dumped/baseline_bbbp_fullft_molformer_c3_random_seed2/training.log
molformer_c3,bbbp,fullft,10,random,classification,auc,0.9710683327704605,PASS,34,50,50,2e-05,0.01,44375809,77.05390501022339,16356,dumped/baseline_bbbp_fullft_molformer_c3_random_seed10/model.pt,True,dumped/baseline_bbbp_fullft_molformer_c3_random_seed10/training.log
molformer_c3,bbbp,fullft,100,random,classification,auc,0.9584479911942763,PASS,32,50,50,2e-05,0.01,44375809,74.22859716415405,25020,dumped/baseline_bbbp_fullft_molformer_c3_random_seed100/model.pt,True,dumped/baseline_bbbp_fullft_molformer_c3_random_seed100/training.log
