run_id,cell_index,backbone,dataset,method,seed,outcome,metric_name,metric_value,bad_diff,final_epoch,best_epoch,batch_size,lr,weight_decay,epochs_budget,patience,train_curve_path,checkpoint_path,duration_sec,error_class,error_message
r3_production_v1_20260528_030441,35,unimol2_84m,freesolv,LoRA,1,PASS,RMSE,1.807281971,0.556294441,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,302.4,,
r3_production_v1_20260528_030441,36,unimol2_84m,freesolv,LoRA,2,PASS,RMSE,2.235645294,-0.004706383,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,300.6,,
r3_production_v1_20260528_030441,37,graphmvp_gin,esol,LoRA,0,PASS,rmse,1.021767196,0.01192627,50,50,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_037_graphmvp_gin_esol_LoRA_seed0.pt,60.3,,
r3_production_v1_20260528_030441,38,graphmvp_gin,esol,LoRA,1,PASS,rmse,1.178500659,0.036952463,50,45,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_038_graphmvp_gin_esol_LoRA_seed1.pt,60.1,,
r3_production_v1_20260528_030441,39,graphmvp_gin,esol,LoRA,2,PASS,rmse,1.248637632,-0.007233882,50,25,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_039_graphmvp_gin_esol_LoRA_seed2.pt,60.1,,
r3_production_v1_20260528_030441,40,graphmvp_gin,esol,DoRA,0,PASS,rmse,1.033693466,0.01192627,50,50,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_040_graphmvp_gin_esol_DoRA_seed0.pt,60.1,,
r3_production_v1_20260528_030441,41,graphmvp_gin,esol,DoRA,1,PASS,rmse,1.215453122,0.036952463,50,45,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_041_graphmvp_gin_esol_DoRA_seed1.pt,60.2,,
r3_production_v1_20260528_030441,42,graphmvp_gin,esol,DoRA,2,PASS,rmse,1.24140375,-0.007233882,50,25,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_042_graphmvp_gin_esol_DoRA_seed2.pt,60.1,,
r3_production_v1_20260528_030441,43,unimol2_84m,esol,LoRA,0,PASS,RMSE,0.8274841309,0.0679441094,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,481.2,,
r3_production_v1_20260528_030441,44,unimol2_84m,esol,LoRA,1,PASS,RMSE,0.9493494034,0.046721816,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,480.8,,
r3_production_v1_20260528_030441,45,unimol2_84m,esol,LoRA,2,PASS,RMSE,0.9959924817,-0.0608947277,50,,8,0.0003,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_unimol2_train_curves.csv,,422.5,,
r3_production_v1_20260528_030441,46,graphmvp_gin,lipo,LoRA,0,PASS,rmse,0.7209819864,0.0428092227,50,47,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_046_graphmvp_gin_lipo_LoRA_seed0.pt,122.7,,
r3_production_v1_20260528_030441,47,graphmvp_gin,lipo,LoRA,1,PASS,rmse,0.7216676437,-0.0010587192,50,48,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_047_graphmvp_gin_lipo_LoRA_seed1.pt,122.2,,
r3_production_v1_20260528_030441,48,graphmvp_gin,lipo,LoRA,2,PASS,rmse,0.8674960708,-0.0080284805,41,11,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_048_graphmvp_gin_lipo_LoRA_seed2.pt,121.8,,
r3_production_v1_20260528_030441,49,graphmvp_gin,lipo,DoRA,0,PASS,rmse,0.7637912091,0.0428092227,50,38,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_049_graphmvp_gin_lipo_DoRA_seed0.pt,121.7,,
r3_production_v1_20260528_030441,50,graphmvp_gin,lipo,DoRA,1,PASS,rmse,0.7206089245,-0.0010587192,50,48,50,0.001,0.0,50,30,results/spec_a_r3_production/r3_production_v1_20260528_030441_graphmvp_train_curves.csv,results/spec_a_r3_production/checkpoints/r3_production_v1_20260528_030441_cell_050_graphmvp_gin_lipo_DoRA_seed1.pt,122.0,,
