backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,sider,lora,32,0,random,auc,classification,0.679574,0.691534,0.01195999999999997,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_lora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,32,1,random,auc,classification,0.652843,0.644994,-0.007848999999999995,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_lora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_seed1/run_0/model_0/model.pt
cmpnn,sider,lora,32,2,random,auc,classification,0.586302,0.593275,0.006973000000000007,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_lora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_seed2/run_0/model_0/model.pt
cmpnn,sider,dora,8,0,random,auc,classification,0.685327,0.691962,0.0066349999999999465,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_dora_alpha8_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,8,1,random,auc,classification,0.635582,0.645643,0.010060999999999987,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_dora_alpha8_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,8,2,random,auc,classification,0.593288,0.592096,-0.0011920000000000819,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_dora_alpha8_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_seed2/run_0/model_0/model.pt
cmpnn,sider,dora,32,0,random,auc,classification,0.689719,0.691962,0.002242999999999995,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_dora_alpha32_seed0/run_0/model_0/model.pt,dumped/baseline_sider_dora_seed0/run_0/model_0/model.pt
cmpnn,sider,dora,32,1,random,auc,classification,0.634219,0.645643,0.01142399999999999,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_dora_alpha32_seed1/run_0/model_0/model.pt,dumped/baseline_sider_dora_seed1/run_0/model_0/model.pt
cmpnn,sider,dora,32,2,random,auc,classification,0.577273,0.592096,0.01482299999999992,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_cmpnn_sider_dora_alpha32_seed2/run_0/model_0/model.pt,dumped/baseline_sider_dora_seed2/run_0/model_0/model.pt
chemberta2,freesolv,lora,8,0,random,rmse,regression,1.2724111902989048,1.2400031407378014,0.032408049561103436,positive = alpha variant worse than alpha=16 baseline in bad-space,docs/overnight_2026-05-20/t7_n7_alpha_sensitivity_random/checkpoints/t7_n7_random_chemberta2_freesolv_lora_alpha8_seed0/model.pt,dumped/baseline_freesolv_lora_chemberta2_seed0/model.pt
