index,backbone,method_comparison,protocol,alt_bootstrap_seed,n_pairs,locked_lower,locked_upper,alt_lower,alt_upper,alt_bootstrap_mean,locked_includes_zero,alt_includes_zero,invariant,zero_inclusion_changed
6,cmpnn,fullft_vs_dora,random,7,36,-0.04823410833333333,-0.01716823402777779,-0.047947222222222204,-0.017268693750000005,-0.03228505008611112,False,False,True,False
6,cmpnn,fullft_vs_dora,random,100,36,-0.04823410833333333,-0.01716823402777779,-0.04779181458333334,-0.017080345138888897,-0.032216127100000005,False,False,True,False
7,chemberta2,lora_vs_dora,scaffold,0,36,-0.0013251346846235336,0.008063715849201524,-0.0012908741345132768,0.008007508044991398,0.0027361359301256065,True,True,True,False
7,chemberta2,lora_vs_dora,scaffold,1,36,-0.0013251346846235336,0.008063715849201524,-0.0012782936228699013,0.007991767130379843,0.0027293067626070304,True,True,True,False
7,chemberta2,lora_vs_dora,scaffold,2,36,-0.0013251346846235336,0.008063715849201524,-0.001318250475875175,0.00803702329536587,0.002752464545488928,True,True,True,False
7,chemberta2,lora_vs_dora,scaffold,7,36,-0.0013251346846235336,0.008063715849201524,-0.0012826588910720177,0.008058402806933887,0.002732679357765603,True,True,True,False
7,chemberta2,lora_vs_dora,scaffold,100,36,-0.0013251346846235336,0.008063715849201524,-0.001314642298808791,0.007939401950483647,0.0027357892735470845,True,True,True,False
8,chemberta2,lora_vs_dora,random,0,36,-0.0034424259168730174,0.0014027683971275982,-0.0034592657543504757,0.001366043399178801,-0.001234214165523672,True,True,True,False
8,chemberta2,lora_vs_dora,random,1,36,-0.0034424259168730174,0.0014027683971275982,-0.003440546733702388,0.0014755381090827452,-0.0012104997888499982,True,True,True,False
8,chemberta2,lora_vs_dora,random,2,36,-0.0034424259168730174,0.0014027683971275982,-0.0034319154756707825,0.001432278000676843,-0.0012191549742193333,True,True,True,False
8,chemberta2,lora_vs_dora,random,7,36,-0.0034424259168730174,0.0014027683971275982,-0.0034692356778605153,0.0014368106804903008,-0.0012450555332612868,True,True,True,False
8,chemberta2,lora_vs_dora,random,100,36,-0.0034424259168730174,0.0014027683971275982,-0.0034328116298593205,0.0013831922548055294,-0.0012378052245405023,True,True,True,False
9,chemberta2,fullft_vs_lora,scaffold,0,36,0.08657824434194333,0.1587261733187385,0.08725843902272204,0.1586532442219644,0.12457602949368297,False,False,True,False
9,chemberta2,fullft_vs_lora,scaffold,1,36,0.08657824434194333,0.1587261733187385,0.08580609576672578,0.15963030595657116,0.12436429218689873,False,False,True,False
9,chemberta2,fullft_vs_lora,scaffold,2,36,0.08657824434194333,0.1587261733187385,0.08589860966757021,0.15911097962491974,0.12434374778406868,False,False,True,False
9,chemberta2,fullft_vs_lora,scaffold,7,36,0.08657824434194333,0.1587261733187385,0.08723703634099282,0.15884865514907126,0.1244986976219629,False,False,True,False
