backbone,dataset,method,lora_alpha,seed,protocol,metric_type,task_type,n7_metric,alpha16_baseline_metric,paired_bad_diff_vs_alpha16,direction,n7_checkpoint,alpha16_baseline_checkpoint
cmpnn,bbbp,lora,32,2,scaffold,auc,classification,0.953143,0.943174,-0.009969000000000006,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_lora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,dora,8,0,scaffold,auc,classification,0.957479,0.956385,-0.0010939999999999284,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_dora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,8,1,scaffold,auc,classification,0.915758,0.916727,0.0009689999999999976,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_dora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,8,2,scaffold,auc,classification,0.965635,0.93989,-0.025745000000000018,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_dora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,0,scaffold,auc,classification,0.957342,0.956385,-0.0009569999999999856,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_dora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,1,scaffold,auc,classification,0.913939,0.916727,0.0027880000000000127,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_dora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,bbbp,dora,32,2,scaffold,auc,classification,0.952029,0.93989,-0.012139000000000011,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_bbbp_dora_alpha32_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_bbbp_dora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,lora,8,0,scaffold,auc,classification,0.599992,0.562181,-0.03781099999999993,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_lora_alpha8_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,8,1,scaffold,auc,classification,0.622262,0.619716,-0.002545999999999937,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_lora_alpha8_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed1/run_0/model_0/model.pt
cmpnn,sider,lora,8,2,scaffold,auc,classification,0.578072,0.594403,0.016330999999999984,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_lora_alpha8_cmpnn_scaffold_seed2/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed2/run_0/model_0/model.pt
cmpnn,sider,lora,32,0,scaffold,auc,classification,0.611276,0.562181,-0.049095,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_lora_alpha32_cmpnn_scaffold_seed0/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed0/run_0/model_0/model.pt
cmpnn,sider,lora,32,1,scaffold,auc,classification,0.588348,0.619716,0.03136800000000006,positive = alpha variant worse than alpha=16 baseline in bad-space,dumped/n7_alpha_sensitivity_sider_lora_alpha32_cmpnn_scaffold_seed1/run_0/model_0/model.pt,dumped/baseline_sider_lora_scaffold_seed1/run_0/model_0/model.pt
